"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"48",2000,-0.49,"K","NS",12,NA,60,0,0,0,0,0,1,0,0,"ebb",0,1,0.00138888888888889,0,0,1
"49",2000,-0.49,"K","NS",16,NA,13,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"50",2000,-0.49,"JKL","N",63,0.97,93,2,0,1,1,0,20,4,1,"slack",1,25,0.00426693975081072,0.000170677590032429,0.000170677590032429,3
"51",2000,-0.49,"K","NS",16,NA,80,0,1,4,0,0,1,0,0,"ebb",5,1,0.00078125,0.00390625,0,1
"52",2000,-0.49,"JK","N",16,1,29,1,1,1,0,0,5,0,1,"flood",2,5,0.0107758620689655,0.00431034482758621,0.0021551724137931,2
"53",2000,-0.49,"KL","S",23,1.22,35,0,2,3,0,0,8,0,0,"slack",5,8,0.00993788819875776,0.0062111801242236,0,2
"54",2000,-0.49,"L","S",15,2.2,35,0,0,2,0,0,0,0,0,"ebb",2,0,0,0.00380952380952381,0,1
"55",2000,-0.49,"JK","SN",11,0.27,17,0,0,0,0,0,3,0,1,"flood",0,3,0.0160427807486631,0,0.0053475935828877,2
"56",2000,-0.49,"K","N",11,0.64,18,0,0,4,0,0,1,0,0,"ebb",4,1,0.00505050505050505,0.0202020202020202,0,1
"57",2000,-0.49,"K","S",11,1.36,27,0,0,4,0,0,1,0,3,"ebb",4,1,0.00336700336700337,0.0134680134680135,0.0101010101010101,1
"58",2000,-0.49,"J","N",16,NA,21,0,0,1,0,0,1,0,0,"flood",1,1,0.00297619047619048,0.00297619047619048,0,1
"59",2000,-0.49,"J","N",17,1.47,38,0,0,0,3,0,1,1,0,"flood",0,5,0.00773993808049536,0,0,1
"60",2000,-0.49,"JL","S",37,0.41,23,0,0,1,0,0,2,0,0,"slack",1,2,0.00235017626321974,0.00117508813160987,0,2
"61",2000,-0.49,"L","S",19,2.32,60,0,0,4,0,0,2,0,0,"flood",4,2,0.00175438596491228,0.00350877192982456,0,1
"62",2000,-0.49,"J","NS",5,NA,43,0,1,0,3,0,3,1,1,"flood",1,7,0.0325581395348837,0.00465116279069767,0.00465116279069767,1
"63",2000,-0.49,"K","NS",NA,NA,15,0,0,0,0,0,0,0,0,"flood",0,0,NA,NA,NA,1
"64",2000,-0.49,"JKL","N",33,0.61,29,0,0,1,1,0,2,0,0,"flood",1,3,0.00313479623824451,0.00104493207941484,0,3
"65",2000,-0.49,"JKL","N",32,0.91,71,0,0,0,0,0,1,0,0,"flood",0,1,0.000440140845070423,0,0,3
"66",2000,-0.49,"J","S",19,0.37,15,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"67",2000,-0.49,"L","S",18,NA,28,0,0,0,0,0,1,0,0,"ebb",0,1,0.00198412698412698,0,0,1
"68",2000,-0.49,"L","S",21,NA,35,0,0,1,0,0,4,1,0,"ebb",1,5,0.00680272108843537,0.00136054421768707,0,1
"69",2000,-0.49,"L","N",18,NA,54,0,0,0,1,0,4,3,0,"flood",0,8,0.00823045267489712,0,0,1
"70",2000,-0.49,"K","N",22,0.05,44,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
